,Name,Market Cap (US$ Billion)
0," Industrial and Commercial Bank of China Limited
",5536.53
1," China Construction Bank
",4762.46
2," Agricultural Bank of China
",4575.95
3," Bank of China
",4206.53
4," JPMorgan Chase
",3743.57
5," Mitsubishi UFJ Financial Group
",3176.84
6," Bank of America
",3169.50
7," HSBC
",2953.64
8," BNP Paribas
",2905.83
9," Crédit Agricole
",2674.35
10," Citigroup Inc.
",2291.41
11," SMBC Group
",2176.94
12," Japan Post Bank
",1998.98
13," Postal Savings Bank of China
",1981.53
14," Mizuho Financial Group
",1957.87
15," Wells Fargo
",1948.07
16," Barclays
",1874.40
17," Bank of Communications
",1836.38
18," Banco Santander
",1814.90
19," Groupe BPCE
",1724.12
20," Société Générale
",1665.47
21," Deutsche Bank
",1505.74
22," Toronto-Dominion Bank
",1486.40
23," Goldman Sachs
",1463.99
24," China Merchants Bank
",1455.94
25," Royal Bank of Canada
",1376.79
26," Industrial Bank (China)
",1354.25
27," China CITIC Bank
",1266.08
28," Shanghai Pudong Development Bank
",1251.38
29," Crédit Mutuel
",1249.36
30," Intesa Sanpaolo
",1215.74
31," Lloyds Banking Group
",1200.41
32," Morgan Stanley
",1188.14
33," UBS
",1117.18
34," China Minsheng Bank
",1094.48
35," ING Group
",1081.87
36," NatWest Group
",1058.86
37," UniCredit
",1042.50
38," Scotiabank
",98.48
39," China Everbright Bank
",99.08
40," Norinchukin Bank
",97.77
41," Bank of Montreal
",98.62
42," La Banque postale
",88.32
43," Commonwealth Bank
",86.05
44," Credit Suisse
",89.18
45," Standard Chartered
",87.88
46," Banco Bilbao Vizcaya Argentaria
",88.28
47," Ping An Bank
",74.70
48," CaixaBank
",73.38
49," Rabobank
",77.37
50," DZ Bank
",73.38
51," Australia and New Zealand Banking Group
",79.71
52," State Bank of India
",64.60
53," Westpac
",66.88
54," Canadian Imperial Bank of Commerce
",66.95
55," National Australia Bank
",60.60
56," Resona Holdings
",62.32
57," Nordea
",68.66
58," Danske Bank
",62.61
59," U.S. Bank
",53.28
60," KB Financial Group Inc
",57.35
61," PNC Financial Services
",57.19
62," Sumitomo Mitsui Trust Holdings
",53.87
63," Huaxia Bank
",50.75
64," Sberbank of Russia
",58.58
65," Shinhan Bank
",55.15
66," Truist Financial Corp
",51.25
67," Commerzbank
",56.65
68," DBS Bank
",58.89
69," China Guangfa Bank
",43.36
70," Bank of Beijing
",44.36
71," ABN AMRO
",43.90
72," The Bank of New York Mellon
",44.44
73," Capital One
",42.48
74," Nonghyup Bank
",45.58
75," Hana Financial Group
",41.81
76," Bank of Shanghai
",44.53
77," OCBC Bank
",42.16
78," Bank of Jiangsu
",44.75
79," KBC Bank
",33.17
80," Nomura Holdings
",32.71
81," Nationwide Building Society
",35.40
82," Woori Bank
",35.42
83," Itaú Unibanco
",31.38
84," Handelsbanken
",30.13
85," SEB Group
",35.43
86," China Zheshang Bank
",39.97
87," Erste Group
",30.96
88," DNB ASA
",32.97
89," Banco do Brasil
",30.89
90," United Overseas Bank
",30.70
91," Industrial Bank of Korea
",34.19
92," Landesbank Baden-Württemberg
",31.05
93," State Street Corporation
",34.62
94," Desjardins Group
",33.78
95," Raiffeisen Gruppe
",32.07
96," Swedbank
",34.23
97," Bayerische Landesbank
",33.14
98," Banco Bradesco
",33.73
99," Qatar National Bank
",33.24
